,is_exc_all,pref_orth_diff,sg_idx_snr,sg0_idx_snr,sg0_osi_dich,sg1_si_salient_pref_all,sg2_rf_in,sg2_resp_orth_0,sg2_resp_orth_30,sg2_resp_pref_0,sg2_resp_pref_30,smg_idx_snr
126,False,4.46910770860716,True,False,0.48670300984702614,-0.01751353750281864,False,14.86055287173934,12.299508142571614,6.372511186219085,4.804909371902257,True
127,False,-2.9483507435697227,True,False,0.20604830667452237,-0.22946329751085207,False,10.862459506009682,9.123880246875043,100.0,81.088429700631,True
128,False,6.1019270816065685,False,False,0.2430434638954116,0.17618083911601173,False,32.11108824656083,24.553091123592672,73.4265894254144,79.38743462738319,False
129,False,1.2298509101114714,False,False,0.03425142573646539,0.12829159898292167,False,27.509093512452615,25.100188512378974,14.109827189423434,13.525133502717393,True
130,False,-2.306022902589458,True,True,0.08294921023281415,-0.39635634148133086,False,7.522230586350467,2.8051962732122493,10.652691934806988,11.640169199568055,True
131,False,1.6841508355290178,False,False,0.09397220066695595,-0.006198812371826598,False,32.40101265625503,27.855514684417404,12.440935906070546,7.60520176544117,True
132,False,-0.2550827467945451,True,False,0.27730061339152295,-0.09045056055881039,False,11.03667829496165,3.9452830273419224,28.542169299281138,30.606054101879582,True
133,False,3.722483248103603,False,False,0.34848011888832575,0.16033485583306117,False,8.539785682462538,8.381993834299442,3.706780951350736,5.797057096693046,True
134,False,-3.904567959013942,True,True,0.24869397810000354,0.0479449967745,False,21.138499565064333,12.91140588931739,10.988520381625936,10.453648508395045,True
135,False,,False,False,0.431736059771569,,False,12.505358526772723,13.326935407866793,10.751314267563899,9.331280205410739,True
136,False,,False,False,0.4541335725055526,,False,3.158845116670888,4.335074233225522,10.718062852198882,7.554060570203151,True
137,False,,False,False,0.26517987707726637,,False,21.119630455206604,22.66908688291622,20.284110280947807,22.299931896462414,True
138,False,,True,True,0.8931469953014182,,False,0.02737267945821469,1.0960439420663393,15.995275924364341,14.492553320268575,True
139,False,0.37595899309963,False,False,0.053842363900742915,-0.00786036423743528,False,0.8606452029198408,0.044621166128378645,4.6976869350346995,5.663185618214834,True
140,False,,False,False,0.5121404412728404,,False,0.4127302536597618,0.30234825904839313,22.56807375284366,22.29121625981628,False
141,False,,False,False,0.14310994216425643,,True,0.0,0.21390000477624244,0.0,0.0,False
142,False,5.468775222379452,False,False,0.026036369324257996,0.2563827846962573,True,37.47806645595493,42.70136094055116,0.37133072311870563,1.6125057151732156,False
143,False,0.0,False,False,0.17174132330430295,0.8125645464939408,False,0.01047047643134227,0.0,100.0,100.0,False
144,False,-2.4657479771532174,False,False,0.04212871048339579,-0.1199080035430635,False,0.0,0.0,23.90392033613096,29.972250231852144,True
145,False,6.488552871279609,False,False,0.06174940316279368,-0.3662473871597425,False,46.188588530684896,29.813075961354063,24.743912159465253,25.863726777681272,True
146,False,0.30523599337380514,False,False,0.20272148939527546,-0.035660838676805307,False,5.18687296115483,4.773196016127864,100.0,100.0,False
